iso_timestamp,timestamp,lat,lon,value,extra,prev_distance,next_distance,movement
recorded_at,,,,altitude,posname,,,unknown
2025-05-27T21:35:34.304389,2025-05-27 20:55:19,46.5267202,6.6194825,557,,,438.65384107758126,static
2025-05-27T22:26:43.042678,2025-05-27 22:17:52,46.5242851,6.6239934,546,,438.65384107758126,486.6531429574942,static
2025-05-27T22:26:43.042678,2025-05-27 22:21:16,46.5272682,6.6193389,564,,486.6531429574942,215.34419006378116,static
2025-05-27T22:26:43.042678,2025-05-27 22:22:34,46.5286461,6.6213169,586,,215.34419006378116,373.05485103497,static
2025-05-27T22:26:43.042678,2025-05-27 22:23:08,46.5296643,6.6166704,571,,373.05485103497,300.1633785596378,static
2025-05-27T22:26:43.042678,2025-05-27 22:07:21,46.5276658,6.619308,574,,300.1633785596378,71.75807545761447,static
2025-05-27T22:42:52.331261,2025-05-27 22:36:41,46.5270427,6.6195521,564,,71.75807545761447,85.26583096581602,static
2025-05-27T22:42:52.331261,2025-05-27 22:39:30,46.5276254,6.6188276,564,,85.26583096581602,280.29341282393716,static
2025-05-27T23:04:14.529806,2025-05-27 22:49:36,46.5259075,6.6215088,564,,280.29341282393716,402.26257769154205,static
2025-05-27T23:04:14.529806,2025-05-27 22:58:40,46.5234201,6.6253266,544,,402.26257769154205,172.07615544215338,static
2025-05-27T23:04:14.529806,2025-05-27 22:58:54,46.5245425,6.6237782,557,,172.07615544215338,872.2710182625833,static
2025-05-27T23:25:23.887473,2025-05-27 23:08:56,46.5304237,6.616233,568,,872.2710182625833,921.5876526752955,static
2025-05-27T23:25:23.887473,2025-05-27 23:23:34,46.5241707,6.6241396,553,,921.5876526752955,505.3847103320986,static
2025-05-27T23:41:32.813653,2025-05-27 23:29:38,46.5271575,6.6191604,564,,505.3847103320986,200.69225232243838,static
2025-05-28T00:07:42.034655,2025-05-27 23:41:41,46.526074,6.6212584,558,,200.69225232243838,197.08439655746807,static
2025-05-28T00:07:42.034655,2025-05-27 23:42:55,46.5271771,6.619242,561,,197.08439655746807,260.05105557841085,static
2025-05-28T00:07:42.034655,2025-05-27 23:51:59,46.5257023,6.6218801,565,,260.05105557841085,169.0231558575717,static
2025-05-28T00:24:59.620919,2025-05-28 00:23:01,46.5267302,6.6202525,564,,169.0231558575717,76.88578841962155,static
2025-05-28T00:53:10.774517,2025-05-28 00:32:46,46.5272175,6.6195395,564,,76.88578841962155,361.4979697811236,static
2025-05-28T00:53:10.774517,2025-05-28 00:41:59,46.5277654,6.6241972,548,,361.4979697811236,518.971143999137,static
2025-05-28T03:45:58.311800,2025-05-28 02:31:03,46.5285497,6.6175099,565,,518.971143999137,198.89806985199795,static
2025-05-28T03:45:58.311800,2025-05-28 03:30:05,46.5272766,6.6193362,526,,198.89806985199795,196.02325324948958,static
2025-05-28T04:24:24.317639,2025-05-28 04:15:12,46.5289633,6.6185911,577,,196.02325324948958,808.796963717242,static
2025-05-28T04:53:41.759376,2025-05-28 04:41:51,46.5230496,6.6247463,470,,808.796963717242,618.9704543168884,static
2025-05-28T05:55:40.340253,2025-05-28 05:35:16,46.5271996,6.6193542,564,,618.9704543168884,1149.2172966406888,moving
2025-05-28T05:55:40.340253,2025-05-28 05:37:31,46.5207348,6.6310737,535,,1149.2172966406888,1011.90783135684,moving
2025-05-28T06:35:57.994980,2025-05-28 06:13:54,46.52655,6.6209002,572,,1011.90783135684,134.51250625303564,moving
2025-05-28T06:35:57.994980,2025-05-28 06:32:00,46.527261,6.6194777,564,,134.51250625303564,32.971059542987255,static
2025-05-28T07:01:07.313303,2025-05-28 06:43:27,46.5269804,6.6193384,564,,32.971059542987255,106.07506513303267,static
2025-05-28T07:01:07.313303,2025-05-28 06:49:18,46.5270686,6.6179578,549,,106.07506513303267,90.20125685547471,static
2025-05-28T07:01:07.313303,2025-05-28 06:53:24,46.5276039,6.6188437,564,,90.20125685547471,736.5637400247194,static
2025-05-28T07:01:07.313303,2025-05-28 06:53:32,46.5232747,6.6261306,544,,736.5637400247194,696.1106495049784,static
2025-05-28T07:17:16.474221,2025-05-28 07:06:12,46.5273801,6.6192615,564,,696.1106495049784,304.07145637325993,static
2025-05-28T07:33:25.783712,2025-05-28 07:23:13,46.5255323,6.6221914,544,,304.07145637325993,402.48557687690413,static
2025-05-28T07:33:25.783712,2025-05-28 07:32:22,46.5231833,6.6261939,545,,402.48557687690413,702.0203655892032,static
2025-05-28T07:48:34.804467,2025-05-28 07:38:04,46.527358,6.6193103,567,,702.0203655892032,13.268753338378215,static
2025-05-28T07:48:34.804467,2025-05-28 07:38:59,46.5272938,6.6194565,564,,13.268753338378215,138.00633909385718,static
2025-05-28T07:48:34.804467,2025-05-28 07:42:47,46.5270657,6.6212297,596,,138.00633909385718,220.94497693124404,static
2025-05-28T07:48:34.804467,2025-05-28 07:44:54,46.5277976,6.6185447,564,,220.94497693124404,473.1133129699383,static
2025-05-28T08:17:43.419464,2025-05-28 07:47:25,46.5239819,6.6212808,543,,473.1133129699383,494.71212053277713,static
2025-05-28T08:17:43.419464,2025-05-28 08:02:02,46.5284093,6.6206436,604,,494.71212053277713,171.7239988018404,static
2025-05-28T08:17:43.419464,2025-05-28 08:11:42,46.5278003,6.6185808,564,,171.7239988018404,184.04752211463415,static
2025-05-28T08:17:43.419464,2025-05-28 08:16:28,46.5266799,6.6203516,564,,184.04752211463415,302.6062418722768,static
2025-05-28T08:40:52.445551,2025-05-28 08:23:36,46.5247993,6.6232106,557,,302.6062418722768,438.33998864596856,static
2025-05-28T08:40:52.445551,2025-05-28 08:32:02,46.5275514,6.6191084,564,,438.33998864596856,48.22231612326013,static
2025-05-28T08:40:52.445551,2025-05-28 08:32:14,46.5272336,6.6195373,564,,48.22231612326013,165.21095183600997,static
2025-05-28T08:40:52.445551,2025-05-28 08:39:35,46.5262527,6.6211593,564,,165.21095183600997,187.8981301439881,static
2025-05-28T09:04:09.988820,2025-05-28 08:54:28,46.527324,6.6192599,563,,187.8981301439881,134.29613437262276,static
2025-05-28T09:04:09.988820,2025-05-28 08:57:56,46.5275113,6.6175257,549,,134.29613437262276,326.70161845758645,static
2025-05-28T09:04:09.988820,2025-05-28 08:59:18,46.5260568,6.6212361,566,,326.70161845758645,196.3330990149503,static
2025-05-28T09:04:09.988820,2025-05-28 09:01:36,46.527248,6.6193418,564,,196.3330990149503,437.8397378084221,static
2025-05-28T09:21:27.253123,2025-05-28 09:10:42,46.5291994,6.6243128,551,,437.8397378084221,456.4029849413147,static
2025-05-28T09:21:27.253123,2025-05-28 09:13:12,46.52764,6.6187942,564,,456.4029849413147,65.61103601626563,static
2025-05-28T09:21:27.253123,2025-05-28 09:15:12,46.5271478,6.6192672,561,,65.61103601626563,192.7942804289484,static
2025-05-28T09:49:36.732804,2025-05-28 09:34:54,46.5261166,6.6212931,563,,192.7942804289484,197.73543176004023,static
2025-05-28T09:49:36.732804,2025-05-28 09:38:13,46.5273227,6.6193938,582,,197.73543176004023,11.720473016761447,static
2025-05-28T09:49:36.732804,2025-05-28 09:40:44,46.5272564,6.6195129,564,,11.720473016761447,40.52211852682593,static
2025-05-28T09:49:36.732804,2025-05-28 09:48:21,46.5272018,6.6189892,564,,40.52211852682593,30.45157765714155,static
2025-05-28T10:06:46.237101,2025-05-28 09:55:53,46.5274579,6.6191302,564,,30.45157765714155,65.97923034119484,static
2025-05-28T10:34:55.844823,2025-05-28 10:23:07,46.5270478,6.6197535,564,,65.97923034119484,702.8316468729543,static
2025-05-28T10:34:55.844823,2025-05-28 10:23:47,46.5230713,6.6268943,545,,702.8316468729543,768.7153982708029,static
2025-05-28T10:34:55.844823,2025-05-28 10:23:54,46.5274446,6.6191125,575,,768.7153982708029,33.010769322148946,static
